统一策略ID,策略代码,策略名称,渠道,投顾机构,原披露风险等级,测算风险等级,风险基础分类,权益风险档,波动风险档,回撤风险档,风险触发指标,风险测算缺失项,权益基金权重,债券基金权重,货币基金权重,混合基金权重,指数基金权重,QDII权重,波动率,最大回撤,主可比池,业务主分类,业务组合分类,业务分类标签,市场地域,数据完整性,基础数据等级,运作状态,最新业绩日期,收益数据截至,是否广发相关,是否天天策略,天天当前对客展示,天天对客展示标记,天天展示状态,天天展示分层,天天展示判定依据
ttfund__OCSBPNQ,OCSBPNQ,司南锐进组合(第03期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__ZEWPRLR,ZEWPRLR,司南锐进组合(第04期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__Z1KBZFM,Z1KBZFM,司南锐进组合(第05期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__M6TBXUT,M6TBXUT,司南锐进组合(第06期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__POPDTG9,POPDTG9,司南锐进组合(第07期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__C7LE4FD,C7LE4FD,司南锐进组合(第08期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__BWOUMRF,BWOUMRF,司南锐进组合(第09期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__8VFC252,8VFC252,司南锐进组合(第10期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__UGGUKP1,UGGUKP1,司南锐进组合(第11期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__VY5GLQI,VY5GLQI,司南锐进组合(第12期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__SDZXB0L,SDZXB0L,司南锐进组合(第13期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__1DJMO4K,1DJMO4K,司南锐进组合(第14期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__6UA9HEM,6UA9HEM,司南锐进组合(第15期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__RJ2SEY0,RJ2SEY0,司南锐进组合(第16期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__10GPI1I,10GPI1I,司南锐进组合(第17期),天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,55.776,12.9362,1.7772,29.5107,0,0,11.5014,33.3811,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__7VS1PHH,7VS1PHH,司南消费基金精选,天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,74.4169,0,3.3561,22.227,27.7423,0,14.5096,46.9339,主题/行业型,主题/行业型,R5 权益/进取｜主题/行业型,国内｜主动为主｜主题行业｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__H0ZPFFI,H0ZPFFI,司南新能源基金精选,天天基金/投顾,南方基金-司南投顾,中高风险,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,82.4602,0,1.4779,16.0619,7.6298,0,19.997,57.3444,主题/行业型,主题/行业型,R5 权益/进取｜主题/行业型,国内｜主动为主｜主题行业｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__3A0QKYY,3A0QKYY,司南医药基金精选,天天基金/投顾,南方基金-司南投顾,未披露,R5 权益/进取,R5 权益/进取,R4 均衡成长,R5 权益/进取,R5 权益/进取,波动+回撤,,48.2852,0,3.5161,48.1987,5.2574,0,18.7952,53.4373,主题/行业型,主题/行业型,R5 权益/进取｜主题/行业型,国内｜主动为主｜主题行业｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__TXT82K3,TXT82K3,桃李不言,天天基金/投顾,国联证券-国联投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,82.8907,0,0.9787,12.1316,5.5271,17.8813,12.9892,29.0336,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内+海外｜主动为主｜主动基金组合、QDII/海外工具、FOF工具,国内+海外,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__3PCFE3U,3PCFE3U,添富跟我投,天天基金/投顾,汇添富基金-汇添富投顾,中风险,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,73.7409,0,1.9548,24.3043,13.2809,11.2396,14.1496,34.4381,主题/行业型,主题/行业型,R5 权益/进取｜主题/行业型,国内+海外｜主动为主｜主题行业｜主动基金组合、QDII/海外工具,国内+海外,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__2VBD0WY,2VBD0WY,添富偏股先锋,天天基金/投顾,汇添富基金-汇添富投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,权益+波动,,67.2685,0,0.9943,29.1269,15.0628,8.9806,13.3356,13.4165,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__MPG2B8T,MPG2B8T,添富权益严选,天天基金/投顾,汇添富基金-汇添富投顾,中风险,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,64.2704,0,3.5186,32.211,0,0,13.3149,34.1309,主题/行业型,主题/行业型,R5 权益/进取｜主题/行业型,国内｜主动为主｜主题行业｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__UCSPP5N,UCSPP5N,万家多元稳健配置100份（测试）,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R0 现金/超低波,R0 现金/超低波,R5 权益/进取,回撤,,0,0,100,0,0,0,0.0452,21.1983,现金管理型,现金管理型,R5 权益/进取｜现金管理型,国内｜主动为主｜主动基金组合,国内,完整,B,开放窗口,2026-06-03,2026-06-03,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,存在测试/终止/隐藏等非当前对客信号
ttfund__CO0XPRY,CO0XPRY,万家非凡价值1号,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,权益+波动,,63.6248,0,4.7322,29.6106,5.4878,3.4555,15.4328,13.8302,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__YXZZPLO,YXZZPLO,万家非凡均衡1号,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,权益+波动,,67.6516,0,1.4851,30.8633,0,0,18.219,16.97,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__PCBQDOD,PCBQDOD,万家非凡均衡小目标,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,权益+波动,,67.6516,0,1.4851,30.8633,0,0,17.6967,14.9605,目标盈系列产品,目标盈系列产品,R5 权益/进取｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__JTWNBSD,JTWNBSD,万家非凡消费驱动,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,权益+波动,,83.0461,0,1.9913,14.9626,11.6664,33.5975,18.3477,17.1267,海外/全球型,海外/全球型,R5 权益/进取｜海外/全球型,海外/全球｜主动为主｜海外全球、主题行业｜主动基金组合、QDII/海外工具,海外/全球,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__AQX1X0N,AQX1X0N,万家非凡小目标01期,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R4 均衡成长,R5 权益/进取,R4 均衡成长,波动,,38.9681,0,1.3502,59.6817,0,2.9521,13.2024,12.7905,目标盈系列产品,目标盈系列产品,R5 权益/进取｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__5APQU8D,5APQU8D,万家非凡小目标02期,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,权益+波动,,61.5908,0,1.3528,32.9845,6.0801,9.987,16.1336,13.7036,目标盈系列产品,目标盈系列产品,R5 权益/进取｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__9TLCNVT,9TLCNVT,万家非凡小目标03期,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,权益+波动,,70.5918,0,1.1327,25.3125,0,1.3242,18.892,14.1131,目标盈系列产品,目标盈系列产品,R5 权益/进取｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__DNPIHPQ,DNPIHPQ,万家非凡小目标04期,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R2 稳健收益,R5 权益/进取,R4 均衡成长,波动,,13.26,70.4123,1.8066,14.5211,5.6684,1.0588,17.0046,18.3393,目标盈系列产品,目标盈系列产品,R5 权益/进取｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__JY48YPE,JY48YPE,万家非凡新质驱动,天天基金/投顾,万家基金懂你投,中风险,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,权益+波动,,83.5536,0,3.1012,13.3451,10.9594,7.6483,25.8056,18.0332,主题/行业型,主题/行业型,R5 权益/进取｜主题/行业型,国内｜主动为主｜主题行业｜主动基金组合,国内,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__SX1CRWN,SX1CRWN,万家非凡智汇选基100份,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R0 现金/超低波,R4 均衡成长,权益,,66.5938,0,0,33.4063,5.0212,9.9606,0.0427,17.6124,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__ZY4J1GA,ZY4J1GA,万家黄金小目标01期,天天基金/投顾,万家基金懂你投,未披露,R5 权益/进取,R5 权益/进取,R2 稳健收益,R5 权益/进取,R3 均衡稳健,波动,,9.8159,0,41.3488,0,58.6512,0,12.5102,9.3313,目标盈系列产品,目标盈系列产品,R5 权益/进取｜目标盈系列产品,国内｜主动被动混合｜目标盈/止盈、主题行业、商品黄金｜主动+指数混合,国内,完整,B,原始状态1,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态1；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__UKFP1FU,UKFP1FU,万家权益向钱冲,天天基金/投顾,万家基金懂你投,中风险,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,68.1565,0,1.3581,30.4853,0,0,16.0885,31.1496,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__RRE9VVG,RRE9VVG,万家随心人生,天天基金/投顾,万家基金懂你投,中风险,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,63.0215,9.3259,4.5257,21.5072,13.5969,4.6964,16.094,31.9828,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__21PQCRZ,21PQCRZ,梧桐权益明星组合,天天基金/投顾,建信基金-建信投顾,未披露,R5 权益/进取,R5 权益/进取,R4 均衡成长,R5 权益/进取,R5 权益/进取,波动+回撤,,51.04,7.8554,2.0111,39.0935,0,0,12.2067,30.7575,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__ZHDNUFS,ZHDNUFS,梧桐指数严选组合,天天基金/投顾,建信基金-建信投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,90.8952,7.084,2.0209,0,62.4712,0,11.9196,24.4729,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动被动混合｜主动+指数混合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__DVYYKVK,DVYYKVK,咸蛋黄进取,天天基金/投顾,华宝智选投顾,中高风险,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,64.6788,0,10.0432,25.2779,30.2246,9.7775,16.4899,29.5121,主题/行业型,主题/行业型,R5 权益/进取｜主题/行业型,国内｜主动为主｜主题行业｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__IXZQUM7,IXZQUM7,咸蛋黄优选,天天基金/投顾,华宝智选投顾,未披露,R5 权益/进取,R5 权益/进取,R4 均衡成长,R5 权益/进取,R5 权益/进取,波动+回撤,,49.5114,0,9.9527,40.5359,15.2644,7.7515,12.5881,26.5889,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__B014F3M,B014F3M,香港股票方向基金精选策略,天天基金/投顾,银河证券-银河投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,90.4303,0,2.3174,7.2524,32.0893,97.6827,17.3709,47.9169,海外/全球型,海外/全球型,R5 权益/进取｜海外/全球型,海外/全球｜主动为主｜海外全球｜主动基金组合、QDII/海外工具,海外/全球,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__3ZG4OHZ,3ZG4OHZ,消费汉堡,天天基金/投顾,国联证券-国联投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,R4 均衡成长,权益,,98.0348,0,1.9652,0,98.0348,34.1678,10.086,17.0382,海外/全球型,海外/全球型,R5 权益/进取｜海外/全球型,海外/全球｜指数/被动为主｜海外全球、主题行业｜指数/被动工具组合、QDII/海外工具,海外/全球,完整,B,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__X6MZKOX,X6MZKOX,小牛慢跑,天天基金/投顾,华宝智选投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,权益+波动,,91.0997,0,0.9987,7.9017,61.8163,53.2168,12.3245,16.7415,海外/全球型,海外/全球型,R5 权益/进取｜海外/全球型,海外/全球｜主动被动混合｜海外全球｜主动+指数混合、QDII/海外工具,海外/全球,完整,B,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__JCPZWBY,JCPZWBY,小微精选,天天基金/投顾,华宝智选投顾,未披露,R5 权益/进取,R5 权益/进取,R4 均衡成长,R5 权益/进取,R4 均衡成长,波动,,50.8935,0,1.0013,48.1052,0,0,15.7246,12.9305,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__DYJZKWD,DYJZKWD,信鸽优势精选组合2号,天天基金/投顾,嘉实财富-嘉实投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,73.8523,0,1.8633,24.2843,0,0,16.3384,42.0058,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__852XEBX,852XEBX,星辰成长,天天基金/投顾,华宝智选投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,R4 均衡成长,权益,,79.5701,17.7125,2.7173,0,21.5801,21.5801,9.4159,14.7272,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内+海外｜主动为主｜主动基金组合、QDII/海外工具,国内+海外,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__YABTCTW,YABTCTW,星际穿越,天天基金/投顾,华宝智选投顾,未披露,R5 权益/进取,R5 权益/进取,R5 权益/进取,R4 均衡成长,R3 均衡稳健,权益,,79.5783,14.2628,1.3778,0,32.4752,68.9546,9.0141,11.5019,海外/全球型,海外/全球型,R5 权益/进取｜海外/全球型,海外/全球｜主动为主｜海外全球｜主动基金组合、QDII/海外工具、FOF工具,海外/全球,完整,B,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__1H1Z88E,1H1Z88E,行业风火轮,天天基金/投顾,华宝智选投顾,中高风险,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,72.1098,5.4893,1.6813,20.7196,47.0974,0,14.242,32.22,主题/行业型,主题/行业型,R5 权益/进取｜主题/行业型,国内｜主动被动混合｜主题行业｜主动+指数混合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__CBJSOMR,CBJSOMR,兴全进取派优选,天天基金/投顾,兴证全球投顾,中风险,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,R5 权益/进取,权益+波动+回撤,,87.3292,0,1.8395,10.8313,30.0691,5.4715,14.4284,31.2985,偏股配置型,偏股配置型,R5 权益/进取｜偏股配置型,国内｜主动为主｜主动基金组合,国内,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
